Size, Type, Time
1700000, "Parallel", 0.480697
1700000, "Built-in", 0.395556
1725000, "Sequential", 0.410176
1725000, "Parallel", 0.329601
1725000, "Built-in", 0.400255
1750000, "Sequential", 0.453660
1750000, "Parallel", 0.405937
1750000, "Built-in", 0.408844
1775000, "Sequential", 0.422223
1775000, "Parallel", 0.467318
1775000, "Built-in", 0.425516
1800000, "Sequential", 0.442691
1800000, "Parallel", 0.405666
1800000, "Built-in", 0.408807
1825000, "Sequential", 0.452691
1825000, "Parallel", 0.551427
1825000, "Built-in", 0.424691
1850000, "Sequential", 0.440461
1850000, "Parallel", 0.337053
1850000, "Built-in", 0.424401
1875000, "Sequential", 0.456513
1875000, "Parallel", 0.505363
1875000, "Built-in", 0.437796
1900000, "Sequential", 0.452283
1900000, "Parallel", 0.526988
1900000, "Built-in", 0.440087
1925000, "Sequential", 0.466244
1925000, "Parallel", 0.442534
1925000, "Built-in", 0.443672
1950000, "Sequential", 0.465409
1950000, "Parallel", 0.462094
1950000, "Built-in", 0.472232
1975000, "Sequential", 0.480435
1975000, "Parallel", 0.447335
1975000, "Built-in", 0.459299
2000000, "Sequential", 0.488798
2000000, "Parallel", 0.489896
2000000, "Built-in", 0.464384
500000, "Sequential", 0.115471
500000, "Parallel", 0.132890
500000, "Built-in", 0.102290
525000, "Sequential", 0.122030
525000, "Parallel", 0.102440
525000, "Built-in", 0.121713
550000, "Sequential", 0.135309
550000, "Parallel", 0.119436
550000, "Built-in", 0.112847
575000, "Sequential", 0.145157
575000, "Parallel", 0.130947
575000, "Built-in", 0.118405
600000, "Sequential", 0.134901
600000, "Parallel", 0.123879
600000, "Built-in", 0.126323
625000, "Sequential", 0.140224
625000, "Parallel", 0.120077
625000, "Built-in", 0.157108
650000, "Sequential", 0.158113
650000, "Parallel", 0.135181
650000, "Built-in", 0.141172
675000, "Sequential", 0.158052
675000, "Parallel", 0.158113
675000, "Built-in", 0.141717
700000, "Sequential", 0.161371
700000, "Parallel", 0.171310
700000, "Built-in", 0.151737
725000, "Sequential", 0.169549
725000, "Parallel", 0.131917
725000, "Built-in", 0.167720
750000, "Sequential", 0.176286
750000, "Parallel", 0.213903
750000, "Built-in", 0.184125
775000, "Sequential", 0.182822
